2017-03-29 02:59:14,881  INFO [main] TestNG_FB_TestCase001:20 - Checking Method EmailPhone Text
 INFO 2017-04-06 12:35:15,358 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:27 - Verifying TagLine in FaceBook
 INFO 2017-04-06 12:35:15,358 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:31 - Asserting Email Phone Text area
 INFO 2017-04-06 12:35:15,406 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:33 - Asserting Password Text area
 INFO 2017-04-06 12:35:15,459 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:35 - Asserting Forgotten Account Link
 INFO 2017-04-06 12:38:29,468 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:21 - Checking Method EmailPhone Text
 INFO 2017-04-06 12:38:29,668 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:23 - Checking Password Text
 INFO 2017-04-06 12:38:29,838 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:25 - Checking facebook Logo
 INFO 2017-04-06 12:38:30,088 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:27 - Verifying TagLine in FaceBook
 INFO 2017-04-06 12:38:30,089 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:31 - Asserting Email Phone Text area
 INFO 2017-04-06 12:38:30,191 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:33 - Asserting Password Text area
 INFO 2017-04-06 12:38:30,274 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:35 - Asserting Forgotten Account Link
 INFO 2017-04-06 12:38:30,556 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:41 - Asserting Facebook Password_text
 INFO 2017-04-06 12:38:33,512 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:50 - Browser window naviagted to :Forgotten Password | Can't Log In | Facebook
 INFO 2017-04-07 11:07:58,670 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:21 - Checking Method EmailPhone Text
 INFO 2017-04-07 11:07:58,856 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:23 - Checking Password Text
 INFO 2017-04-07 11:07:58,980 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:25 - Checking facebook Logo
 INFO 2017-04-07 11:07:59,151 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:27 - Verifying TagLine in FaceBook
 INFO 2017-04-07 11:07:59,152 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:31 - Asserting Email Phone Text area
 INFO 2017-04-07 11:07:59,205 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:33 - Asserting Password Text area
 INFO 2017-04-07 11:07:59,277 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:35 - Asserting Forgotten Account Link
